ds,y,dayofweek,is_weekend,month,year,event,holiday,festival,temperature,precipitation,rainy,sunny
2024-01-02,16,1,0,1,2024,0,0,0,8.350000000000003,15.899999999999999,1,0
2024-01-03,18,2,0,1,2024,0,0,0,6.883333333333333,2.7000000000000006,1,0
2024-01-04,10,3,0,1,2024,0,0,0,5.575,0.4,1,0
2024-01-05,14,4,0,1,2024,0,0,0,4.420833333333333,0.5,1,0
2024-01-06,24,5,1,1,2024,0,0,0,3.625,0.0,0,1
2024-01-07,19,6,1,1,2024,0,0,0,2.8791666666666678,0.0,0,1
2024-01-08,18,0,0,1,2024,0,0,0,1.4916666666666665,0.8999999999999999,1,0
2024-01-09,11,1,0,1,2024,0,0,0,1.445833333333333,0.1,1,0
2024-01-10,14,2,0,1,2024,0,0,0,3.429166666666667,0.30000000000000004,1,0
2024-01-11,14,3,0,1,2024,0,0,0,4.6625000000000005,0.1,1,0
2024-01-12,16,4,0,1,2024,0,0,0,3.745833333333333,0.0,0,1
2024-01-13,28,5,1,1,2024,0,0,0,3.883333333333333,0.0,0,1
2024-01-14,14,6,1,1,2024,0,0,0,1.4541666666666666,0.0,0,1
2024-01-15,14,0,0,1,2024,0,0,0,-1.116666666666667,0.0,0,1
2024-01-16,18,1,0,1,2024,0,0,0,0.9666666666666667,0.0,0,1
2024-01-17,16,2,0,1,2024,0,0,0,-0.975,0.1,1,0
2024-01-18,10,3,0,1,2024,0,0,0,-1.0458333333333334,0.0,0,1
2024-01-19,25,4,0,1,2024,0,0,0,1.5333333333333332,0.0,0,1
2024-01-20,20,5,1,1,2024,0,0,0,3.912500000000001,2.8000000000000003,1,0
2024-01-21,9,6,1,1,2024,0,0,0,8.687500000000002,6.4,1,0
2024-01-22,14,0,0,1,2024,0,0,0,7.5666666666666655,2.3000000000000003,1,0
2024-01-23,19,1,0,1,2024,0,0,0,8.4,7.299999999999998,1,0
2024-01-24,17,2,0,1,2024,0,0,0,8.166666666666666,0.0,0,1
2024-01-25,18,3,0,1,2024,0,0,0,8.358333333333333,1.4000000000000004,1,0
2024-01-26,9,4,0,1,2024,0,0,0,6.954166666666668,0.7,1,0
2024-01-27,23,5,1,1,2024,0,0,0,5.133333333333332,0.0,0,1
2024-01-28,21,6,1,1,2024,0,0,0,7.05,0.0,0,1
2024-01-29,9,0,0,1,2024,0,0,0,10.15,7.7,1,0
2024-01-30,32,1,0,1,2024,0,0,0,6.079166666666668,0.1,1,0
2024-01-31,14,2,0,1,2024,0,0,0,5.154166666666667,3.5999999999999996,1,0
2024-02-01,14,3,0,2,2024,0,0,0,5.566666666666666,0.0,0,1
2024-02-02,16,4,0,2,2024,0,0,0,10.3,0.2,1,0
2024-02-03,38,5,1,2,2024,0,0,0,9.870833333333334,2.1,1,0
2024-02-04,13,6,1,2,2024,0,0,0,9.837499999999999,2.3000000000000003,1,0
2024-02-05,17,0,0,2,2024,0,0,0,9.858333333333334,0.0,0,1
2024-02-06,22,1,0,2,2024,0,0,0,8.608333333333333,5.6000000000000005,1,0
2024-02-07,23,2,0,2,2024,0,0,0,3.0666666666666664,0.0,0,1
2024-02-08,7,3,0,2,2024,0,0,0,1.4333333333333333,19.1,1,0
2024-02-09,24,4,0,2,2024,0,0,0,4.766666666666667,12.299999999999997,1,0
2024-02-10,26,5,1,2,2024,0,0,0,5.729166666666667,2.4000000000000004,1,0
2024-02-11,15,6,1,2,2024,0,0,0,6.270833333333335,4.399999999999999,1,0
2024-02-12,18,0,0,2,2024,0,0,0,5.041666666666667,0.0,0,1
2024-02-13,20,1,0,2,2024,0,0,0,6.3875,3.0000000000000004,1,0
2024-02-14,15,2,0,2,2024,1,1,0,11.191666666666668,5.699999999999998,1,0
2024-02-15,12,3,0,2,2024,0,0,0,12.858333333333334,6.9,1,0
2024-02-16,29,4,0,2,2024,1,0,1,10.233333333333333,3.0,1,0
2024-02-17,21,5,1,2,2024,1,0,1,10.2875,6.199999999999999,1,0
2024-02-18,20,6,1,2,2024,1,0,1,10.799999999999999,5.499999999999999,1,0
2024-02-19,20,0,0,2,2024,1,0,1,9.000000000000002,1.7000000000000002,1,0
2024-02-20,12,1,0,2,2024,1,0,1,9.450000000000001,2.0,1,0
2024-02-21,18,2,0,2,2024,1,0,1,9.02083333333333,7.099999999999998,1,0
2024-02-22,11,3,0,2,2024,1,0,1,6.524999999999999,12.599999999999998,1,0
2024-02-23,19,4,0,2,2024,1,0,1,3.529166666666667,0.0,0,1
2024-02-24,27,5,1,2,2024,0,0,0,2.2125000000000004,0.7,1,0
2024-02-25,12,6,1,2,2024,0,0,0,2.6374999999999997,0.2,1,0
2024-02-26,11,0,0,2,2024,0,0,0,4.324999999999999,0.30000000000000004,1,0
2024-02-27,15,1,0,2,2024,0,0,0,4.099999999999999,0.5,1,0
2024-02-28,18,2,0,2,2024,0,0,0,6.887499999999999,2.0,1,0
2024-02-29,15,3,0,2,2024,0,0,0,7.845833333333332,0.7,1,0
2024-03-01,25,4,0,3,2024,0,0,0,2.7541666666666664,5.4,1,0
2024-03-02,19,5,1,3,2024,0,0,0,2.791666666666666,5.3999999999999995,1,0
2024-03-03,22,6,1,3,2024,0,0,0,3.0958333333333345,0.0,0,1
2024-03-04,15,0,0,3,2024,0,0,0,3.9458333333333333,2.3000000000000003,1,0
2024-03-05,14,1,0,3,2024,0,0,0,6.370833333333334,1.3,1,0
2024-03-06,15,2,0,3,2024,0,0,0,4.483333333333333,0.0,0,1
2024-03-07,19,3,0,3,2024,0,0,0,4.6875,1.7000000000000006,1,0
2024-03-08,14,4,0,3,2024,0,0,0,5.033333333333334,0.6,1,0
2024-03-09,22,5,1,3,2024,0,0,0,5.991666666666666,4.1,1,0
2024-03-10,10,6,1,3,2024,0,0,0,6.270833333333333,13.6,1,0
2024-03-11,18,0,0,3,2024,0,0,0,6.329166666666666,0.6,1,0
2024-03-12,25,1,0,3,2024,0,0,0,8.7125,4.0,1,0
2024-03-13,17,2,0,3,2024,0,0,0,11.72083333333333,1.9000000000000004,1,0
2024-03-14,16,3,0,3,2024,0,0,0,11.304166666666665,1.0999999999999999,1,0
2024-03-15,16,4,0,3,2024,0,0,0,9.883333333333335,5.099999999999998,1,0
2024-03-16,27,5,1,3,2024,0,0,0,6.720833333333334,1.6,1,0
2024-03-17,15,6,1,3,2024,1,1,0,11.16666666666667,6.599999999999999,1,0
2024-03-18,18,0,0,3,2024,0,0,0,9.966666666666665,0.30000000000000004,1,0
2024-03-19,22,1,0,3,2024,0,0,0,11.475,0.4,1,0
2024-03-20,14,2,0,3,2024,0,0,0,9.629166666666666,6.300000000000001,1,0
2024-03-21,12,3,0,3,2024,0,0,0,8.754166666666668,0.0,0,1
2024-03-22,26,4,0,3,2024,0,0,0,8.441666666666665,0.8,1,0
2024-03-23,17,5,1,3,2024,0,0,0,5.599999999999999,0.9,1,0
2024-03-24,26,6,1,3,2024,0,0,0,6.912500000000001,0.9000000000000001,1,0
2024-03-25,21,0,0,3,2024,0,0,0,6.329166666666667,3.900000000000001,1,0
2024-03-26,31,1,0,3,2024,0,0,0,7.437500000000001,1.5,1,0
2024-03-27,14,2,0,3,2024,0,0,0,6.400000000000002,7.799999999999999,1,0
2024-03-28,20,3,0,3,2024,0,0,0,6.779166666666668,7.4,1,0
2024-03-29,30,4,0,3,2024,1,1,0,7.7541666666666655,0.4,1,0
2024-03-30,32,5,1,3,2024,0,0,0,7.820833333333334,0.0,0,1
2024-03-31,14,6,1,3,2024,1,1,0,6.916666666666667,1.1,1,0
2024-04-01,14,0,0,4,2024,1,1,0,7.116666666666667,3.5,1,0
2024-04-02,16,1,0,4,2024,0,0,0,8.329166666666667,0.9999999999999999,1,0
2024-04-03,23,2,0,4,2024,0,0,0,9.870833333333334,4.5,1,0
2024-04-04,24,3,0,4,2024,0,0,0,8.5875,11.899999999999999,1,0
2024-04-05,20,4,0,4,2024,0,0,0,12.991666666666667,2.8000000000000003,1,0
2024-04-06,29,5,1,4,2024,0,0,0,14.391666666666666,1.6000000000000003,1,0
2024-04-07,21,6,1,4,2024,0,0,0,11.445833333333333,1.0,1,0
2024-04-08,14,0,0,4,2024,0,0,0,11.725000000000001,2.9,1,0
2024-04-09,16,1,0,4,2024,0,0,0,8.208333333333334,3.2,1,0
2024-04-10,21,2,0,4,2024,0,0,0,8.595833333333331,2.4000000000000004,1,0
2024-04-11,20,3,0,4,2024,0,0,0,14.712500000000004,0.8999999999999999,1,0
2024-04-12,13,4,0,4,2024,0,0,0,13.445833333333335,0.0,0,1
2024-04-13,21,5,1,4,2024,0,0,0,11.625,0.5,1,0
2024-04-14,25,6,1,4,2024,1,0,1,8.575000000000001,0.2,1,0
2024-04-15,15,0,0,4,2024,0,0,0,7.099999999999999,6.999999999999999,1,0
2024-04-16,14,1,0,4,2024,0,0,0,7.920833333333333,0.8999999999999999,1,0
2024-04-17,15,2,0,4,2024,0,0,0,6.133333333333334,0.8999999999999999,1,0
2024-04-18,8,3,0,4,2024,0,0,0,6.704166666666667,5.3999999999999995,1,0
2024-04-19,22,4,0,4,2024,0,0,0,8.591666666666667,2.3,1,0
2024-04-20,24,5,1,4,2024,1,0,1,6.408333333333334,0.0,0,1
2024-04-21,18,6,1,4,2024,1,0,1,6.895833333333335,0.6000000000000001,1,0
2024-04-22,10,0,0,4,2024,1,0,1,6.291666666666667,6.799999999999998,1,0
2024-04-23,24,1,0,4,2024,1,0,1,6.999999999999999,0.8999999999999999,1,0
2024-04-24,11,2,0,4,2024,1,0,1,5.679166666666666,1.0999999999999999,1,0
2024-04-25,16,3,0,4,2024,1,0,1,4.979166666666667,0.9,1,0
2024-04-26,22,4,0,4,2024,1,0,1,5.145833333333333,2.2,1,0
2024-04-27,19,5,1,4,2024,1,0,1,6.191666666666666,0.6000000000000001,1,0
2024-04-28,11,6,1,4,2024,1,0,1,6.3125,19.6,1,0
2024-04-29,15,0,0,4,2024,1,0,1,9.766666666666667,0.1,1,0
2024-04-30,15,1,0,4,2024,1,0,1,12.341666666666669,0.1,1,0
2024-05-01,13,2,0,5,2024,1,0,1,12.595833333333331,1.0999999999999999,1,0
