date,category,revenue,quantity,company,dayofweek,month,year,is_weekend
2024-01-02,Bread,249.7,80,cpl,1,1,2024,0
2024-01-02,Cafe Counter,50.400000000000006,12,cpl,1,1,2024,0
2024-01-02,Cafe Menu,20.0,4,cpl,1,1,2024,0
2024-01-02,Christmas,5.0,1,cpl,1,1,2024,0
2024-01-02,Cold Drinks,14.75,6,cpl,1,1,2024,0
2024-01-02,Counter Menu,124.0,31,cpl,1,1,2024,0
2024-01-02,External,112.96,35,cpl,1,1,2024,0
2024-01-02,Hot Drinks,286.82,88,cpl,1,1,2024,0
2024-01-02,Kids,3.1,2,cpl,1,1,2024,0
2024-01-02,Pastry,686.27,235,cpl,1,1,2024,0
2024-01-02,Retail,0.2,2,cpl,1,1,2024,0
2024-01-03,Bread,284.71,89,cpl,2,1,2024,0
2024-01-03,Cafe Counter,73.28,17,cpl,2,1,2024,0
2024-01-03,Christmas,4.0,1,cpl,2,1,2024,0
2024-01-03,Cold Drinks,7.5,3,cpl,2,1,2024,0
2024-01-03,Counter Menu,105.0,25,cpl,2,1,2024,0
2024-01-03,External,54.5,15,cpl,2,1,2024,0
2024-01-03,Hot Drinks,259.7,79,cpl,2,1,2024,0
2024-01-03,Kids,6.0,3,cpl,2,1,2024,0
2024-01-03,Pastry,615.76,213,cpl,2,1,2024,0
2024-01-03,Retail,34.88,8,cpl,2,1,2024,0
2024-01-04,Bread,336.72,106,cpl,3,1,2024,0
2024-01-04,Bread Retail,15.0,2,cpl,3,1,2024,0
2024-01-04,Cafe Counter,63.150000000000006,15,cpl,3,1,2024,0
2024-01-04,Cafe Menu,10.0,2,cpl,3,1,2024,0
2024-01-04,Christmas,19.0,5,cpl,3,1,2024,0
2024-01-04,Cold Drinks,13.5,4,cpl,3,1,2024,0
2024-01-04,Counter Menu,118.6,28,cpl,3,1,2024,0
2024-01-04,External,151.42000000000002,34,cpl,3,1,2024,0
2024-01-04,Hot Drinks,337.98,102,cpl,3,1,2024,0
2024-01-04,Kids,6.4,4,cpl,3,1,2024,0
2024-01-04,Pastry,637.86,220,cpl,3,1,2024,0
2024-01-04,Retail,42.120000000000005,15,cpl,3,1,2024,0
2024-01-05,Bread,409.39,132,cpl,4,1,2024,0
2024-01-05,Bread Retail,7.5,1,cpl,4,1,2024,0
2024-01-05,Cafe Counter,65.7,15,cpl,4,1,2024,0
2024-01-05,Cafe Menu,10.0,2,cpl,4,1,2024,0
2024-01-05,Christmas,4.0,1,cpl,4,1,2024,0
2024-01-05,Cold Drinks,10.0,4,cpl,4,1,2024,0
2024-01-05,Counter Menu,145.4,36,cpl,4,1,2024,0
2024-01-05,External,197.1,44,cpl,4,1,2024,0
2024-01-05,Hot Drinks,317.55,97,cpl,4,1,2024,0
2024-01-05,Kids,5.2,3,cpl,4,1,2024,0
