date,transaction_count,total_revenue,total_quantity,company,dayofweek,month,year,is_weekend
2024-01-02,151,1553.2,496.0,cpl,1,1,2024,0
2024-01-03,175,1531.33,453.0,cpl,2,1,2024,0
2024-01-04,193,1751.75,537.0,cpl,3,1,2024,0
2024-01-05,220,2130.67,664.0,cpl,4,1,2024,0
2024-01-06,265,2544.28,780.0,cpl,5,1,2024,1
2024-01-07,168,1899.13,606.0,cpl,6,1,2024,1
2024-01-08,167,1771.68,554.0,cpl,0,1,2024,0
2024-01-09,187,1888.34,563.0,cpl,1,1,2024,0
2024-01-10,170,1555.17,461.0,cpl,2,1,2024,0
2024-01-11,168,1635.15,494.0,cpl,3,1,2024,0
2024-01-12,260,2334.87,708.0,cpl,4,1,2024,0
2024-01-13,280,2722.46,812.0,cpl,5,1,2024,1
2024-01-14,191,2004.66,615.0,cpl,6,1,2024,1
2024-01-15,186,1615.35,486.0,cpl,0,1,2024,0
2024-01-16,174,1583.01,473.0,cpl,1,1,2024,0
2024-01-17,145,1423.4,423.0,cpl,2,1,2024,0
2024-01-18,168,1505.31,452.0,cpl,3,1,2024,0
2024-01-19,213,1878.85,559.0,cpl,4,1,2024,0
2024-01-20,250,2232.54,666.0,cpl,5,1,2024,1
2024-01-21,162,1575.81,471.0,cpl,6,1,2024,1
2024-01-22,189,1463.8700000000001,428.0,cpl,0,1,2024,0
2024-01-23,144,1285.27,383.0,cpl,1,1,2024,0
2024-01-24,155,1325.8,412.0,cpl,2,1,2024,0
2024-01-25,159,1408.76,424.0,cpl,3,1,2024,0
2024-01-26,202,1676.84,511.0,cpl,4,1,2024,0
2024-01-27,252,2292.1,685.0,cpl,5,1,2024,1
2024-01-28,174,1642.3,479.0,cpl,6,1,2024,1
2024-01-29,165,1330.26,394.0,cpl,0,1,2024,0
2024-01-30,175,1408.76,420.0,cpl,1,1,2024,0
2024-01-31,152,1409.85,417.0,cpl,2,1,2024,0
2024-02-01,155,1423.41,431.0,cpl,3,2,2024,0
2024-02-02,200,1786.73,526.0,cpl,4,2,2024,0
2024-02-03,275,2299.26,701.0,cpl,5,2,2024,1
2024-02-04,169,1574.77,485.0,cpl,6,2,2024,1
2024-02-05,168,1263.01,391.0,cpl,0,2,2024,0
2024-02-06,143,1169.12,345.0,cpl,1,2,2024,0
2024-02-07,179,1437.01,432.0,cpl,2,2,2024,0
2024-02-08,169,1515.1,458.0,cpl,3,2,2024,0
2024-02-09,208,1851.52,557.0,cpl,4,2,2024,0
2024-02-10,251,2372.01,714.0,cpl,5,2,2024,1
2024-02-11,186,1693.7,530.0,cpl,6,2,2024,1
2024-02-12,168,1393.78,430.0,cpl,0,2,2024,0
2024-02-13,162,1225.1,368.0,cpl,1,2,2024,0
2024-02-14,159,1200.52,353.0,cpl,2,2,2024,0
2024-02-15,168,1454.38,428.0,cpl,3,2,2024,0
2024-02-16,220,1746.85,536.0,cpl,4,2,2024,0
2024-02-17,267,2499.51,746.0,cpl,5,2,2024,1
2024-02-18,191,1734.32,526.0,cpl,6,2,2024,1
2024-02-19,161,1435.48,423.0,cpl,0,2,2024,0
2024-02-20,152,1295.09,381.0,cpl,1,2,2024,0
2024-02-21,146,1298.28,389.0,cpl,2,2,2024,0
2024-02-22,164,1427.3,428.0,cpl,3,2,2024,0
2024-02-23,190,1709.87,510.0,cpl,4,2,2024,0
2024-02-24,275,2529.84,748.0,cpl,5,2,2024,1
2024-02-25,194,1863.6200000000001,566.0,cpl,6,2,2024,1
2024-02-26,153,1266.07,381.0,cpl,0,2,2024,0
2024-02-27,157,1226.23,366.0,cpl,1,2,2024,0
2024-02-28,163,1182.76,363.0,cpl,2,2,2024,0
2024-02-29,186,1503.9,451.0,cpl,3,2,2024,0
2024-03-01,205,1772.12,537.0,cpl,4,3,2024,0
2024-03-02,242,2224.21,678.0,cpl,5,3,2024,1
2024-03-03,215,1893.29,597.0,cpl,6,3,2024,1
2024-03-04,177,1226.47,367.0,cpl,0,3,2024,0
2024-03-05,179,1347.77,401.0,cpl,1,3,2024,0
2024-03-06,186,1437.74,427.0,cpl,2,3,2024,0
2024-03-07,181,1536.46,456.0,cpl,3,3,2024,0
2024-03-08,206,1769.05,540.0,cpl,4,3,2024,0
2024-03-09,241,2493.09,725.0,cpl,5,3,2024,1
2024-03-10,198,2129.71,647.0,cpl,6,3,2024,1
2024-03-11,177,1410.3600000000001,418.0,cpl,0,3,2024,0
2024-03-12,158,1285.55,385.0,cpl,1,3,2024,0
2024-03-13,159,1365.26,406.0,cpl,2,3,2024,0
2024-03-14,184,1797.16,533.0,cpl,3,3,2024,0
2024-03-15,206,2121.06,631.0,cpl,4,3,2024,0
2024-03-16,277,2723.29,807.0,cpl,5,3,2024,1
2024-03-17,209,2059.34,627.0,cpl,6,3,2024,1
2024-03-18,180,1430.48,440.0,cpl,0,3,2024,0
2024-03-19,201,1662.68,504.0,cpl,1,3,2024,0
2024-03-20,187,1440.91,430.0,cpl,2,3,2024,0
2024-03-21,169,1580.36,462.0,cpl,3,3,2024,0
2024-03-22,250,2085.68,627.0,cpl,4,3,2024,0
2024-03-23,269,2657.43,790.0,cpl,5,3,2024,1
2024-03-24,199,1951.83,593.0,cpl,6,3,2024,1
2024-03-25,171,1497.21,450.0,cpl,0,3,2024,0
2024-03-26,175,1639.71,496.0,cpl,1,3,2024,0
2024-03-27,188,1536.27,465.0,cpl,2,3,2024,0
2024-03-28,212,1820.96,542.0,cpl,3,3,2024,0
2024-03-29,219,2439.11,725.0,cpl,4,3,2024,0
2024-03-30,250,2522.36,767.0,cpl,5,3,2024,1
2024-03-31,117,1794.34,559.0,cpl,6,3,2024,1
2024-04-01,137,1715.72,536.0,cpl,0,4,2024,0
2024-04-02,184,1632.24,502.0,cpl,1,4,2024,0
2024-04-03,167,1569.0,474.0,cpl,2,4,2024,0
2024-04-04,172,1466.41,442.0,cpl,3,4,2024,0
2024-04-05,201,1930.8,587.0,cpl,4,4,2024,0
2024-04-06,247,2524.23,739.0,cpl,5,4,2024,1
2024-04-07,180,1757.56,541.0,cpl,6,4,2024,1
2024-04-08,166,1416.64,430.0,cpl,0,4,2024,0
2024-04-09,171,1377.89,414.0,cpl,1,4,2024,0
2024-04-10,166,1549.0,452.0,cpl,2,4,2024,0
2024-04-11,180,1583.32,470.0,cpl,3,4,2024,0
2024-04-12,208,1968.46,598.0,cpl,4,4,2024,0
2024-04-13,253,2546.33,744.0,cpl,5,4,2024,1
2024-04-14,174,1954.23,596.0,cpl,6,4,2024,1
2024-04-15,157,1348.68,414.0,cpl,0,4,2024,0
2024-04-16,195,1597.29,474.0,cpl,1,4,2024,0
2024-04-17,172,1611.2,473.0,cpl,2,4,2024,0
2024-04-18,170,1529.41,463.0,cpl,3,4,2024,0
2024-04-19,222,2049.4,607.0,cpl,4,4,2024,0
2024-04-20,263,2672.34,777.0,cpl,5,4,2024,1
2024-04-21,190,1927.68,586.0,cpl,6,4,2024,1
2024-04-22,153,1495.66,438.0,cpl,0,4,2024,0
2024-04-23,172,1635.0,492.0,cpl,1,4,2024,0
2024-04-24,177,1430.82,428.0,cpl,2,4,2024,0
2024-04-25,169,1522.59,438.0,cpl,3,4,2024,0
2024-04-26,222,2166.2,623.0,cpl,4,4,2024,0
2024-04-27,257,2483.87,719.0,cpl,5,4,2024,1
2024-04-28,161,1533.04,465.0,cpl,6,4,2024,1
2024-04-29,154,1354.1,400.0,cpl,0,4,2024,0
2024-04-30,163,1480.81,423.0,cpl,1,4,2024,0
2024-05-01,174,1469.33,446.0,cpl,2,5,2024,0
2024-05-02,213,1628.71,491.0,cpl,3,5,2024,0
2024-05-03,235,2200.41,644.0,cpl,4,5,2024,0
2024-05-04,253,2545.73,741.0,cpl,5,5,2024,1
2024-05-05,176,1664.9,493.0,cpl,6,5,2024,1
2024-05-06,151,1562.48,475.0,cpl,0,5,2024,0
2024-05-07,171,1549.76,463.0,cpl,1,5,2024,0
2024-05-08,161,1426.15,419.0,cpl,2,5,2024,0
2024-05-09,152,1349.8,395.0,cpl,3,5,2024,0
2024-05-10,206,1851.64,565.0,cpl,4,5,2024,0
2024-05-11,262,2476.68,739.0,cpl,5,5,2024,1
2024-05-12,194,1793.64,547.0,cpl,6,5,2024,1
2024-05-13,180,1458.99,436.0,cpl,0,5,2024,0
2024-05-14,149,1373.8,408.0,cpl,1,5,2024,0
2024-05-15,172,1452.44,432.0,cpl,2,5,2024,0
2024-05-16,179,1458.94,434.0,cpl,3,5,2024,0
2024-05-17,235,2096.89,608.0,cpl,4,5,2024,0
2024-05-18,237,2474.89,713.0,cpl,5,5,2024,1
2024-05-19,170,1773.56,533.0,cpl,6,5,2024,1
2024-05-20,164,1391.06,429.0,cpl,0,5,2024,0
2024-05-21,170,1325.52,420.0,cpl,1,5,2024,0
2024-05-22,138,1320.45,390.0,cpl,2,5,2024,0
2024-05-23,176,1345.0,408.0,cpl,3,5,2024,0
