date,payment_method,amount,transaction_count,company,dayofweek,month,year,is_weekend
2024-01-02,CASH,115.75,20,cpl,1,1,2024,0
2024-01-02,SUMUP,973.2,120,cpl,1,1,2024,0
2024-01-03,CASH,131.8,20,cpl,2,1,2024,0
2024-01-03,SUMUP,1167.33,148,cpl,2,1,2024,0
2024-01-04,CASH,236.67,40,cpl,3,1,2024,0
2024-01-04,SUMUP,1239.3799999999999,145,cpl,3,1,2024,0
2024-01-04,VOUCHER,6.4,1,cpl,3,1,2024,0
2024-01-05,CASH,223.66,33,cpl,4,1,2024,0
2024-01-05,SUMUP,1591.76,178,cpl,4,1,2024,0
2024-01-06,CASH,273.96,37,cpl,5,1,2024,1
2024-01-06,SUMUP,1996.67,218,cpl,5,1,2024,1
2024-01-06,VOUCHER,6.45,1,cpl,5,1,2024,1
2024-01-07,CASH,110.44,14,cpl,6,1,2024,1
2024-01-07,SUMUP,1351.24,143,cpl,6,1,2024,1
2024-01-08,CASH,258.4,37,cpl,0,1,2024,0
2024-01-08,SUMUP,831.27,118,cpl,0,1,2024,0
2024-01-09,CASH,185.26,33,cpl,1,1,2024,0
2024-01-09,SUMUP,1062.12,141,cpl,1,1,2024,0
2024-01-10,CASH,278.04,43,cpl,2,1,2024,0
2024-01-10,SUMUP,910.63,115,cpl,2,1,2024,0
2024-01-10,VOUCHER,33.85,2,cpl,2,1,2024,0
2024-01-11,CASH,163.18,29,cpl,3,1,2024,0
2024-01-11,SUMUP,1104.92,132,cpl,3,1,2024,0
2024-01-12,CASH,205.23,42,cpl,4,1,2024,0
2024-01-12,SUMUP,1628.88,205,cpl,4,1,2024,0
2024-01-13,CASH,206.72,38,cpl,5,1,2024,1
2024-01-13,SUMUP,2271.65,237,cpl,5,1,2024,1
2024-01-13,VOUCHER,10.0,1,cpl,5,1,2024,1
2024-01-14,CASH,68.91,14,cpl,6,1,2024,1
2024-01-14,SUMUP,1473.07,163,cpl,6,1,2024,1
2024-01-15,CASH,183.84,35,cpl,0,1,2024,0
2024-01-15,SUMUP,1089.8,138,cpl,0,1,2024,0
2024-01-16,CASH,215.4,29,cpl,1,1,2024,0
2024-01-16,SUMUP,1005.0,134,cpl,1,1,2024,0
2024-01-16,VOUCHER,6.75,1,cpl,1,1,2024,0
2024-01-17,CASH,140.01,28,cpl,2,1,2024,0
2024-01-17,SUMUP,786.5699999999999,104,cpl,2,1,2024,0
2024-01-18,CASH,130.78,27,cpl,3,1,2024,0
2024-01-18,SUMUP,1134.08,132,cpl,3,1,2024,0
2024-01-19,CASH,190.12,35,cpl,4,1,2024,0
2024-01-19,SUMUP,1454.93,167,cpl,4,1,2024,0
2024-01-19,VOUCHER,17.2,2,cpl,4,1,2024,0
2024-01-20,CASH,199.98,34,cpl,5,1,2024,1
2024-01-20,SUMUP,1922.96,210,cpl,5,1,2024,1
2024-01-21,CASH,102.3,15,cpl,6,1,2024,1
2024-01-21,SUMUP,1360.68,141,cpl,6,1,2024,1
2024-01-22,CASH,160.6,27,cpl,0,1,2024,0
2024-01-22,SUMUP,1055.22,148,cpl,0,1,2024,0
2024-01-23,CASH,136.36,28,cpl,1,1,2024,0
2024-01-23,SUMUP,890.76,106,cpl,1,1,2024,0
2024-01-24,CASH,203.62,26,cpl,2,1,2024,0
2024-01-24,SUMUP,902.87,116,cpl,2,1,2024,0
2024-01-25,CASH,130.78,24,cpl,3,1,2024,0
2024-01-25,SUMUP,1002.4,126,cpl,3,1,2024,0
2024-01-26,CASH,209.09,36,cpl,4,1,2024,0
2024-01-26,OTHER,2.2,1,cpl,4,1,2024,0
2024-01-26,SUMUP,1296.19,156,cpl,4,1,2024,0
2024-01-26,VOUCHER,3.4,1,cpl,4,1,2024,0
2024-01-27,CASH,158.55,28,cpl,5,1,2024,1
2024-01-27,SUMUP,2051.32,219,cpl,5,1,2024,1
2024-01-27,VOUCHER,2.88,1,cpl,5,1,2024,1
2024-01-28,CASH,86.75,15,cpl,6,1,2024,1
2024-01-28,SUMUP,1376.55,149,cpl,6,1,2024,1
2024-01-29,CASH,147.35,29,cpl,0,1,2024,0
2024-01-29,SUMUP,939.8,124,cpl,0,1,2024,0
2024-01-29,VOUCHER,5.2,1,cpl,0,1,2024,0
2024-01-30,CASH,156.72,28,cpl,1,1,2024,0
2024-01-30,SUMUP,1033.29,138,cpl,1,1,2024,0
2024-01-31,CASH,135.32,26,cpl,2,1,2024,0
2024-01-31,SUMUP,975.6800000000001,115,cpl,2,1,2024,0
2024-01-31,VOUCHER,13.45,1,cpl,2,1,2024,0
2024-02-01,CASH,95.69,21,cpl,3,2,2024,0
2024-02-01,SUMUP,1011.32,121,cpl,3,2,2024,0
2024-02-01,VOUCHER,10.0,1,cpl,3,2,2024,0
2024-02-02,CASH,234.63,34,cpl,4,2,2024,0
2024-02-02,SUMUP,1314.44,156,cpl,4,2,2024,0
2024-02-02,VOUCHER,18.36,1,cpl,4,2,2024,0
2024-02-03,CASH,223.11,32,cpl,5,2,2024,1
2024-02-03,SUMUP,2004.6,234,cpl,5,2,2024,1
2024-02-03,VOUCHER,8.8,3,cpl,5,2,2024,1
2024-02-04,CASH,104.55,19,cpl,6,2,2024,1
2024-02-04,SUMUP,1304.97,144,cpl,6,2,2024,1
2024-02-04,VOUCHER,38.85,2,cpl,6,2,2024,1
2024-02-05,CASH,184.54,42,cpl,0,2,2024,0
2024-02-05,SUMUP,896.12,118,cpl,0,2,2024,0
2024-02-06,CASH,119.99,22,cpl,1,2,2024,0
2024-02-06,SUMUP,843.33,114,cpl,1,2,2024,0
2024-02-07,CASH,266.79,46,cpl,2,2,2024,0
2024-02-07,SUMUP,874.22,117,cpl,2,2,2024,0
2024-02-07,VOUCHER,13.05,2,cpl,2,2,2024,0
2024-02-08,CASH,127.14,21,cpl,3,2,2024,0
2024-02-08,SUMUP,1214.7,138,cpl,3,2,2024,0
