date,product,revenue,quantity,company,dayofweek,month,year,is_weekend
2024-01-02,Americano,27.89,9,cpl,1,1,2024,0
2024-01-02,Artisan Ginger Beer,2.5,1,cpl,1,1,2024,0
2024-01-02,Baguette - Regular,16.8,8,cpl,1,1,2024,0
2024-01-02,Batard - Plain,18.9,6,cpl,1,1,2024,0
2024-01-02,Bear Claw - IN,3.5,1,cpl,1,1,2024,0
2024-01-02,Bear Claw - OUT,62.0,20,cpl,1,1,2024,0
2024-01-02,Brownie - Takeout,23.1,7,cpl,1,1,2024,0
2024-01-02,Cappuccino,55.86,16,cpl,1,1,2024,0
2024-01-02,Cardamom Snurr - Dine In,2.8,1,cpl,1,1,2024,0
2024-01-02,Cardamom Snurr - Takeout,31.2,12,cpl,1,1,2024,0
2024-01-02,Carrier Bag - Small,0.2,2,cpl,1,1,2024,0
2024-01-02,Chai Latte Pot,3.7,1,cpl,1,1,2024,0
2024-01-02,Chutney 300g - Fig and Plum,5.0,1,cpl,1,1,2024,0
2024-01-02,Ciabatta - Plain,24.8,8,cpl,1,1,2024,0
2024-01-02,Cinnamon Swirl - Dine In,7.0,2,cpl,1,1,2024,0
2024-01-02,Cinnamon Swirl - Takeout,61.0,20,cpl,1,1,2024,0
2024-01-02,Cookie - Dine In,2.4,1,cpl,1,1,2024,0
2024-01-02,Cookie - Takeout,13.2,6,cpl,1,1,2024,0
2024-01-02,Cortado,3.2,1,cpl,1,1,2024,0
2024-01-02,Croissant - Dine In,5.7,2,cpl,1,1,2024,0
2024-01-02,Croissant - Takeout,45.900000000000006,18,cpl,1,1,2024,0
2024-01-02,Custard Doughnut - Dine In,3.7,1,cpl,1,1,2024,0
2024-01-02,Custard Doughnut - Takeout,26.4,8,cpl,1,1,2024,0
2024-01-02,Danish - Dine In,13.0,4,cpl,1,1,2024,0
2024-01-02,Danish - Takeout,39.2,14,cpl,1,1,2024,0
2024-01-02,Dark Peak,17.7,6,cpl,1,1,2024,0
2024-01-02,Espresso,11.2,4,cpl,1,1,2024,0
2024-01-02,FOH Salad,20.0,4,cpl,1,1,2024,0
2024-01-02,Fig and Ginger Muffin - Takeout,13.719999999999999,5,cpl,1,1,2024,0
2024-01-02,Fish Sandwich - Tuna Sweetcorn Onion - Dine In,11.399999999999999,3,cpl,1,1,2024,0
2024-01-02,Fish Sandwich - Tuna Sweetcorn Onion - Takeout,19.2,7,cpl,1,1,2024,0
2024-01-02,Flat White,79.78,24,cpl,1,1,2024,0
2024-01-02,Focaccia Plain - Slice,21.2,8,cpl,1,1,2024,0
2024-01-02,Fruit Juice - Apple,2.5,1,cpl,1,1,2024,0
2024-01-02,Fruit Juice - Peach,9.75,4,cpl,1,1,2024,0
2024-01-02,Hot Chocolate,10.8,3,cpl,1,1,2024,0
2024-01-02,Jam Doughnut - Dine In,3.7,1,cpl,1,1,2024,0
2024-01-02,Jam Doughnut - Takeout,33.0,10,cpl,1,1,2024,0
2024-01-02,Kids Drinks - Cold Milk,1.1,1,cpl,1,1,2024,0
2024-01-02,Kids Drinks - Hot Chocolate,2.0,1,cpl,1,1,2024,0
2024-01-02,Latte,65.46,20,cpl,1,1,2024,0
2024-01-02,Leaf Tea Pot,6.4,2,cpl,1,1,2024,0
2024-01-02,Long Black,9.3,3,cpl,1,1,2024,0
2024-01-02,Maple Pecan Swirl - Dine In,10.5,3,cpl,1,1,2024,0
2024-01-02,Maple Pecan Swirl - Takeout,34.1,11,cpl,1,1,2024,0
2024-01-02,Meat Sandwich - Chicken Bacon Mayo Rocket - Dine In,11.399999999999999,3,cpl,1,1,2024,0
2024-01-02,Meat Sandwich - Chicken Bacon Mayo Rocket - Takeout,40.96,13,cpl,1,1,2024,0
2024-01-02,Millstone - Large,17.6,4,cpl,1,1,2024,0
2024-01-02,Millstone - Small,26.5,10,cpl,1,1,2024,0
2024-01-02,Morning Bun - Dine In,6.7,2,cpl,1,1,2024,0
2024-01-02,Morning Bun - Takeout,26.55,9,cpl,1,1,2024,0
2024-01-02,PB+J Brownie Takeout,13.2,4,cpl,1,1,2024,0
2024-01-02,PCT - Dine In,16.5,6,cpl,1,1,2024,0
2024-01-02,PCT - Takeout,38.4,16,cpl,1,1,2024,0
2024-01-02,Pain au Chocolat - Takeout,70.4,22,cpl,1,1,2024,0
2024-01-02,Pecan Pie - Takeout,19.8,6,cpl,1,1,2024,0
2024-01-02,Pork and Fennel Sausage Roll - Takeout,53.2,14,cpl,1,1,2024,0
2024-01-02,Seeded Millstone - Large,19.8,4,cpl,1,1,2024,0
2024-01-02,Seeded Millstone - Small,27.2,8,cpl,1,1,2024,0
2024-01-02,Sesame Linseed Sunflower - Small,20.4,6,cpl,1,1,2024,0
2024-01-02,Spiced Apple Muffin,18.2,6,cpl,1,1,2024,0
2024-01-02,Sweet Potato and Black Bean Roll - Dine In,9.0,2,cpl,1,1,2024,0
2024-01-02,Sweet Potato and Black Bean Roll - Takeout,41.8,11,cpl,1,1,2024,0
2024-01-02,Tart Meat - Dine In,15.0,3,cpl,1,1,2024,0
2024-01-02,Tart Meat - Square,21.0,5,cpl,1,1,2024,0
2024-01-02,Tart Vegetarian - Dine In,5.0,1,cpl,1,1,2024,0
2024-01-02,Tart Vegetarian - Square,29.400000000000002,7,cpl,1,1,2024,0
2024-01-02,Teacake - Single,4.4,4,cpl,1,1,2024,0
2024-01-02,Vegan Danish - Dine In,3.4,1,cpl,1,1,2024,0
2024-01-02,Vegan Danish - Takeout,33.6,12,cpl,1,1,2024,0
2024-01-02,Vegan Sandwich - Chickpea Rocket - Dine In,7.6,2,cpl,1,1,2024,0
2024-01-02,Vegan Sandwich - Chickpea Rocket - Takeout,22.400000000000002,7,cpl,1,1,2024,0
2024-01-02,White Peak - Large,17.6,4,cpl,1,1,2024,0
2024-01-02,White Peak - Small,21.2,8,cpl,1,1,2024,0
2024-01-02,Yorkshire Brew,13.23,5,cpl,1,1,2024,0
2024-01-03,1 Pint Orange Juice,1.25,1,cpl,2,1,2024,0
2024-01-03,1ltr Whole Milk,1.3,1,cpl,2,1,2024,0
2024-01-03,Americano,59.5,19,cpl,2,1,2024,0
2024-01-03,Artisan Tonic Pink,2.5,1,cpl,2,1,2024,0
2024-01-03,Baguette - Regular,14.700000000000001,7,cpl,2,1,2024,0
2024-01-03,Batard - Plain,12.6,4,cpl,2,1,2024,0
2024-01-03,Bear Claw - IN,3.5,1,cpl,2,1,2024,0
2024-01-03,Bear Claw - OUT,34.1,11,cpl,2,1,2024,0
2024-01-03,Birdhouse Tea - Duchess Georgiana - Grapefruit & Rose,4.0,1,cpl,2,1,2024,0
2024-01-03,Birdhouse Tea - North Coast - Lemongrass & Ginger,4.0,1,cpl,2,1,2024,0
2024-01-03,Brownie - Dine In,3.6,1,cpl,2,1,2024,0
2024-01-03,Brownie - Takeout,39.6,12,cpl,2,1,2024,0
2024-01-03,Cappuccino,61.5,18,cpl,2,1,2024,0
2024-01-03,Cardamom Snurr - Takeout,23.400000000000002,9,cpl,2,1,2024,0
2024-01-03,Chutney 300g - Bread & Butter Pickles,4.0,1,cpl,2,1,2024,0
2024-01-03,Ciabatta - Plain,21.7,7,cpl,2,1,2024,0
2024-01-03,Cinnamon Swirl - Dine In,17.5,5,cpl,2,1,2024,0
2024-01-03,Cinnamon Swirl - Takeout,39.65,13,cpl,2,1,2024,0
2024-01-03,Cookie - Dine In,2.4,1,cpl,2,1,2024,0
2024-01-03,Cookie - Takeout,19.8,9,cpl,2,1,2024,0
2024-01-03,Croissant - Dine In,11.4,4,cpl,2,1,2024,0
2024-01-03,Croissant - Takeout,38.25,15,cpl,2,1,2024,0
2024-01-03,Custard Doughnut - Dine In,7.4,2,cpl,2,1,2024,0
2024-01-03,Custard Doughnut - Takeout,19.799999999999997,6,cpl,2,1,2024,0
2024-01-03,Danish - Takeout,30.799999999999997,11,cpl,2,1,2024,0
2024-01-03,Dark Peak,19.17,7,cpl,2,1,2024,0
2024-01-03,Espresso,2.8,1,cpl,2,1,2024,0
2024-01-03,FOH Salad,24.5,4,cpl,2,1,2024,0
2024-01-03,Fig and Ginger Muffin - Dine In,6.9,2,cpl,2,1,2024,0
2024-01-03,Fig and Ginger Muffin - Takeout,16.8,6,cpl,2,1,2024,0
2024-01-03,Fish Sandwich - Tuna Sweetcorn Onion,21.2,5,cpl,2,1,2024,0
2024-01-03,Fish Sandwich - Tuna Sweetcorn Onion - Takeout,3.2,1,cpl,2,1,2024,0
2024-01-03,Flat White,59.1,18,cpl,2,1,2024,0
2024-01-03,Focaccia Plain - Slice,9.27,4,cpl,2,1,2024,0
2024-01-03,Fruit Juice - Mango,2.5,1,cpl,2,1,2024,0
2024-01-03,Fruit Juice - Peach,2.5,1,cpl,2,1,2024,0
2024-01-03,Hot Chocolate,14.0,4,cpl,2,1,2024,0
2024-01-03,Jam Doughnut - Dine In,3.7,1,cpl,2,1,2024,0
2024-01-03,Jam Doughnut - Takeout,29.7,9,cpl,2,1,2024,0
2024-01-03,Kids Drinks - Hot Chocolate,6.0,3,cpl,2,1,2024,0
2024-01-03,Latte,32.3,9,cpl,2,1,2024,0
2024-01-03,Leaf Tea Pot,9.600000000000001,3,cpl,2,1,2024,0
2024-01-03,MISC ,86.0,21,cpl,2,1,2024,0
2024-01-03,Maple Pecan Swirl - Dine In,7.0,2,cpl,2,1,2024,0
2024-01-03,Maple Pecan Swirl - Takeout,24.8,8,cpl,2,1,2024,0
2024-01-03,Meat Sandwich - Chicken Bacon Mayo Rocket,6.4,2,cpl,2,1,2024,0
2024-01-03,Meat Sandwich - Chicken Bacon Mayo Rocket - Takeout,9.600000000000001,3,cpl,2,1,2024,0
2024-01-03,Millstone - Large,17.6,4,cpl,2,1,2024,0
2024-01-03,Millstone - Small,25.169999999999998,10,cpl,2,1,2024,0
2024-01-03,Mocha,7.4,2,cpl,2,1,2024,0
2024-01-03,Morning Bun - Dine In,3.35,1,cpl,2,1,2024,0
2024-01-03,Morning Bun - Takeout,14.010000000000002,5,cpl,2,1,2024,0
2024-01-03,Moss Valley Meats - Breakfast Sausage,4.1,1,cpl,2,1,2024,0
2024-01-03,Moss Valley Meats - Ham,2.43,1,cpl,2,1,2024,0
2024-01-03,Mr Potato Bread,7.8,2,cpl,2,1,2024,0
2024-01-03,PB+J Brownie Takeout,23.1,7,cpl,2,1,2024,0
2024-01-03,PCT - Dine In,19.25,7,cpl,2,1,2024,0
2024-01-03,PCT - Takeout,43.2,18,cpl,2,1,2024,0
2024-01-03,Pain au Chocolat - Dine In,3.8,1,cpl,2,1,2024,0
2024-01-03,Pain au Chocolat - Takeout,41.6,13,cpl,2,1,2024,0
2024-01-03,Pecan Pie - Takeout,36.3,11,cpl,2,1,2024,0
2024-01-03,Pork and Fennel Sausage Roll - Takeout,41.8,11,cpl,2,1,2024,0
2024-01-03,Retail Coffee 250g - Decaf Forge,17.8,2,cpl,2,1,2024,0
2024-01-03,Seeded Millstone - Large,19.8,4,cpl,2,1,2024,0
2024-01-03,Seeded Millstone - Small,40.8,12,cpl,2,1,2024,0
2024-01-03,Sesame Linseed Sunflower - Large,14.850000000000001,3,cpl,2,1,2024,0
2024-01-03,Sesame Linseed Sunflower - Small,20.4,6,cpl,2,1,2024,0
2024-01-03,Spiced Apple Muffin,18.2,6,cpl,2,1,2024,0
2024-01-03,Sweet Potato and Black Bean Roll - Dine In,4.5,1,cpl,2,1,2024,0
2024-01-03,Sweet Potato and Black Bean Roll - Takeout,34.199999999999996,9,cpl,2,1,2024,0
2024-01-03,Tart Meat - Slice,18.0,4,cpl,2,1,2024,0
2024-01-03,Tart Meat - Square,21.0,5,cpl,2,1,2024,0
2024-01-03,Tart Vegetarian - Slice,25.88,6,cpl,2,1,2024,0
