date,category,revenue,quantity,company,dayofweek,month,year,is_weekend
2024-01-02,Bread,309.85,94.0,forge,1,1,2024,0
2024-01-02,Cafe Counter,60.9,13.0,forge,1,1,2024,0
2024-01-02,Cafe Counter -> External,143.65,44.0,forge,1,1,2024,0
2024-01-02,Christmas,8.0,2.0,forge,1,1,2024,0
2024-01-02,Cold Drinks,8.6,3.0,forge,1,1,2024,0
2024-01-02,Counter Menu,97.1,25.0,forge,1,1,2024,0
2024-01-02,Hot Drinks,283.12,85.0,forge,1,1,2024,0
2024-01-02,Kids,3.1,2.0,forge,1,1,2024,0
2024-01-02,Pastry,576.61,196.0,forge,1,1,2024,0
2024-01-02,Retail,7.9,1.0,forge,1,1,2024,0
2024-01-02,Retail Ingredients,2.0,2.0,forge,1,1,2024,0
2024-01-03,Bread,342.0,103.0,forge,2,1,2024,0
2024-01-03,Cafe Counter,65.1,12.0,forge,2,1,2024,0
2024-01-03,Cafe Counter -> External,25.6,8.0,forge,2,1,2024,0
2024-01-03,Christmas,17.0,4.0,forge,2,1,2024,0
2024-01-03,Cold Drinks,7.5,3.0,forge,2,1,2024,0
2024-01-03,Counter Menu,107.1,28.0,forge,2,1,2024,0
2024-01-03,Hot Drinks,285.7,86.0,forge,2,1,2024,0
2024-01-03,Kids,6.0,3.0,forge,2,1,2024,0
2024-01-03,Pastry,536.54,187.0,forge,2,1,2024,0
2024-01-03,Retail,47.900000000000006,8.0,forge,2,1,2024,0
2024-01-03,Retail Ingredients,4.0,4.0,forge,2,1,2024,0
2024-01-04,Bread,359.19,104.0,forge,3,1,2024,0
2024-01-04,Bread Retail,3.75,1.0,forge,3,1,2024,0
2024-01-04,Cafe Counter,82.7,17.0,forge,3,1,2024,0
2024-01-04,Cafe Counter -> External,211.5,47.0,forge,3,1,2024,0
2024-01-04,Christmas,32.75,8.0,forge,3,1,2024,0
2024-01-04,Cold Drinks,14.2,4.0,forge,3,1,2024,0
2024-01-04,Counter Menu,95.39999999999999,25.0,forge,3,1,2024,0
2024-01-04,Gifts,0.0,1.0,forge,3,1,2024,0
2024-01-04,Hot Drinks,226.3,68.0,forge,3,1,2024,0
2024-01-04,Kids,5.2,3.0,forge,3,1,2024,0
2024-01-04,Pastry,508.66,176.0,forge,3,1,2024,0
2024-01-04,Pastry Special,18.0,4.0,forge,3,1,2024,0
2024-01-04,Retail,1.1,5.0,forge,3,1,2024,0
2024-01-05,Bread,505.66,151.0,forge,4,1,2024,0
2024-01-05,Bread Retail,3.75,1.0,forge,4,1,2024,0
2024-01-05,Cafe Counter,81.7,16.0,forge,4,1,2024,0
2024-01-05,Cafe Counter -> External,283.5,63.0,forge,4,1,2024,0
2024-01-05,Christmas,8.74,3.0,forge,4,1,2024,0
2024-01-05,Cold Drinks,8.2,3.0,forge,4,1,2024,0
2024-01-05,Counter Menu,109.89999999999999,29.0,forge,4,1,2024,0
2024-01-05,Hot Drinks,305.2,92.0,forge,4,1,2024,0
2024-01-05,Pastry,807.77,277.0,forge,4,1,2024,0
2024-01-05,Pastry Special,9.0,2.0,forge,4,1,2024,0
2024-01-05,Retail,97.65,13.0,forge,4,1,2024,0
2024-01-05,Retail Ingredients,6.0,6.0,forge,4,1,2024,0
2024-01-06,Bread,632.8100000000001,189.0,forge,5,1,2024,1
