date,transaction_count,total_revenue,total_quantity,company,dayofweek,month,year,is_weekend
2024-01-02,194,1501.33,467.0,forge,1,1,2024,0
2024-01-03,190,1579.34,446.0,forge,2,1,2024,0
2024-01-04,192,1558.75,463.0,forge,3,1,2024,0
2024-01-05,246,2227.07,656.0,forge,4,1,2024,0
2024-01-06,278,2463.03,739.0,forge,5,1,2024,1
2024-01-07,240,2054.48,628.0,forge,6,1,2024,1
2024-01-08,171,1728.47,513.0,forge,0,1,2024,0
2024-01-09,178,1826.8600000000001,528.0,forge,1,1,2024,0
2024-01-10,187,1699.15,500.0,forge,2,1,2024,0
2024-01-11,186,1582.84,466.0,forge,3,1,2024,0
2024-01-12,230,2085.05,612.0,forge,4,1,2024,0
2024-01-13,314,2659.99,780.0,forge,5,1,2024,1
2024-01-14,238,2243.33,670.0,forge,6,1,2024,1
2024-01-15,206,1802.47,520.0,forge,0,1,2024,0
2024-01-16,189,1655.27,476.0,forge,1,1,2024,0
2024-01-17,180,1559.57,457.0,forge,2,1,2024,0
2024-01-18,183,1683.37,491.0,forge,3,1,2024,0
2024-01-19,243,2011.23,589.0,forge,4,1,2024,0
2024-01-20,265,2305.46,663.0,forge,5,1,2024,1
2024-01-21,239,2084.09,609.0,forge,6,1,2024,1
2024-01-22,194,1505.83,426.0,forge,0,1,2024,0
2024-01-23,164,1387.8,403.0,forge,1,1,2024,0
2024-01-24,188,1389.51,409.0,forge,2,1,2024,0
2024-01-25,187,1455.52,414.0,forge,3,1,2024,0
2024-01-26,256,2022.59,589.0,forge,4,1,2024,0
2024-01-27,279,2557.61,741.0,forge,5,1,2024,1
2024-01-28,217,2197.9,640.0,forge,6,1,2024,1
2024-01-29,187,1395.59,406.0,forge,0,1,2024,0
2024-01-30,178,1520.9,448.0,forge,1,1,2024,0
2024-01-31,180,1586.05,461.0,forge,2,1,2024,0
2024-02-01,182,1377.3700000000001,395.0,forge,3,2,2024,0
2024-02-02,247,1936.7,561.0,forge,4,2,2024,0
2024-02-03,226,2013.86,587.0,forge,5,2,2024,1
2024-02-04,240,2117.29,616.0,forge,6,2,2024,1
2024-02-05,203,1415.54,400.0,forge,0,2,2024,0
2024-02-06,188,1642.79,479.0,forge,1,2,2024,0
2024-02-07,222,1614.67,469.0,forge,2,2,2024,0
2024-02-08,168,1343.31,397.0,forge,3,2,2024,0
2024-02-09,247,1914.77,569.0,forge,4,2,2024,0
2024-02-10,289,2469.07,731.0,forge,5,2,2024,1
2024-02-11,251,2102.65,631.0,forge,6,2,2024,1
2024-02-12,210,1403.48,400.0,forge,0,2,2024,0
2024-02-13,197,1557.65,452.0,forge,1,2,2024,0
2024-02-14,177,1360.46,392.0,forge,2,2,2024,0
2024-02-15,183,1464.82,422.0,forge,3,2,2024,0
2024-02-16,255,1960.58,575.0,forge,4,2,2024,0
2024-02-17,271,2584.94,756.0,forge,5,2,2024,1
2024-02-18,242,2274.5,646.0,forge,6,2,2024,1
2024-02-19,217,1582.51,464.0,forge,0,2,2024,0
2024-02-20,199,1637.52,492.0,forge,1,2,2024,0
