date,payment_method,amount,transaction_count,company,dayofweek,month,year,is_weekend
2024-01-02,OTHER,0.0,1,forge,1,1,2024,0
2024-01-02,SUMUP,1379.93,186,forge,1,1,2024,0
2024-01-03,SUMUP,1396.19,184,forge,2,1,2024,0
2024-01-04,OTHER,0.0,3,forge,3,1,2024,0
2024-01-04,SUMUP,1394.1,183,forge,3,1,2024,0
2024-01-04,VOUCHER,21.4,2,forge,3,1,2024,0
2024-01-05,SUMUP,1903.22,238,forge,4,1,2024,0
2024-01-05,VOUCHER,7.35,1,forge,4,1,2024,0
2024-01-06,SUMUP,2221.43,273,forge,5,1,2024,1
2024-01-06,VOUCHER,20.7,1,forge,5,1,2024,1
2024-01-07,SUMUP,1801.28,229,forge,6,1,2024,1
2024-01-07,VOUCHER,4.4,1,forge,6,1,2024,1
2024-01-08,SUMUP,1180.43,164,forge,0,1,2024,0
2024-01-08,VOUCHER,14.8,1,forge,0,1,2024,0
2024-01-09,OTHER,0.0,3,forge,1,1,2024,0
2024-01-09,SUMUP,1246.91,166,forge,1,1,2024,0
2024-01-09,VOUCHER,6.8,1,forge,1,1,2024,0
2024-01-10,OTHER,0.0,2,forge,2,1,2024,0
2024-01-10,SUMUP,1353.25,174,forge,2,1,2024,0
2024-01-11,OTHER,0.0,2,forge,3,1,2024,0
2024-01-11,SUMUP,1303.74,174,forge,3,1,2024,0
2024-01-12,SUMUP,1781.15,222,forge,4,1,2024,0
2024-01-13,OTHER,4.4,1,forge,5,1,2024,1
2024-01-13,SUMUP,2544.94,307,forge,5,1,2024,1
2024-01-13,VOUCHER,7.9,2,forge,5,1,2024,1
2024-01-14,OTHER,1.0,1,forge,6,1,2024,1
2024-01-14,SUMUP,1905.48,226,forge,6,1,2024,1
2024-01-14,VOUCHER,37.3,3,forge,6,1,2024,1
2024-01-15,SUMUP,1498.36,200,forge,0,1,2024,0
2024-01-16,OTHER,0.0,1,forge,1,1,2024,0
2024-01-16,SUMUP,1306.97,178,forge,1,1,2024,0
2024-01-16,VOUCHER,32.25,2,forge,1,1,2024,0
2024-01-17,SUMUP,1117.3700000000001,164,forge,2,1,2024,0
2024-01-18,SUMUP,1271.31,172,forge,3,1,2024,0
2024-01-19,CARD,0.0,2,forge,4,1,2024,0
2024-01-19,OTHER,0.0,1,forge,4,1,2024,0
2024-01-19,SUMUP,1764.52,231,forge,4,1,2024,0
2024-01-19,VOUCHER,25.35,3,forge,4,1,2024,0
2024-01-20,SUMUP,2195.36,257,forge,5,1,2024,1
2024-01-20,VOUCHER,18.5,2,forge,5,1,2024,1
2024-01-21,SUMUP,2048.99,238,forge,6,1,2024,1
2024-01-22,CARD,0.0,2,forge,0,1,2024,0
2024-01-22,SUMUP,1273.83,182,forge,0,1,2024,0
2024-01-23,OTHER,0.0,1,forge,1,1,2024,0
2024-01-23,SUMUP,1105.95,154,forge,1,1,2024,0
2024-01-24,SUMUP,1244.71,183,forge,2,1,2024,0
2024-01-25,OTHER,0.0,1,forge,3,1,2024,0
2024-01-25,SUMUP,1255.52,178,forge,3,1,2024,0
2024-01-26,OTHER,2.95,2,forge,4,1,2024,0
2024-01-26,SUMUP,1863.54,249,forge,4,1,2024,0
2024-01-26,VOUCHER,11.5,1,forge,4,1,2024,0
2024-01-27,CUSTOM_1,72.6,4,forge,5,1,2024,1
2024-01-27,OTHER,24.4,4,forge,5,1,2024,1
2024-01-27,SUMUP,2306.61,265,forge,5,1,2024,1
2024-01-27,VOUCHER,20.8,3,forge,5,1,2024,1
2024-01-28,SUMUP,2087.2,213,forge,6,1,2024,1
2024-01-28,VOUCHER,16.0,1,forge,6,1,2024,1
2024-01-29,SUMUP,1093.35,176,forge,0,1,2024,0
2024-01-30,CARD,3.5,1,forge,1,1,2024,0
2024-01-30,OTHER,0.0,4,forge,1,1,2024,0
2024-01-30,SUMUP,1239.8,163,forge,1,1,2024,0
2024-01-30,VOUCHER,8.8,1,forge,1,1,2024,0
2024-01-31,SUMUP,1288.85,172,forge,2,1,2024,0
2024-01-31,VOUCHER,15.0,1,forge,2,1,2024,0
2024-02-01,SUMUP,1235.92,177,forge,3,2,2024,0
2024-02-01,VOUCHER,8.9,2,forge,3,2,2024,0
2024-02-02,SUMUP,1755.05,238,forge,4,2,2024,0
2024-02-02,VOUCHER,3.5,1,forge,4,2,2024,0
2024-02-03,CARD,0.0,2,forge,5,2,2024,1
2024-02-03,OTHER,8.7,2,forge,5,2,2024,1
2024-02-03,SUMUP,1979.19,219,forge,5,2,2024,1
2024-02-03,VOUCHER,8.75,2,forge,5,2,2024,1
2024-02-04,OTHER,0.0,1,forge,6,2,2024,1
2024-02-04,SUMUP,2021.34,235,forge,6,2,2024,1
2024-02-05,SUMUP,1218.43,192,forge,0,2,2024,0
2024-02-05,VOUCHER,10.15,2,forge,0,2,2024,0
2024-02-06,SUMUP,1324.93,178,forge,1,2,2024,0
2024-02-07,OTHER,0.0,2,forge,2,2,2024,0
2024-02-07,SUMUP,1398.64,211,forge,2,2,2024,0
2024-02-07,VOUCHER,16.3,1,forge,2,2,2024,0
2024-02-08,CARD,3.9,1,forge,3,2,2024,0
