date,product,revenue,quantity,company,dayofweek,month,year,is_weekend
2024-01-02,Americano,15.5,5.0,forge,1,1,2024,0
2024-01-02,Artisan Tonic Pink,2.5,1.0,forge,1,1,2024,0
2024-01-02,Baguette - Regular,23.1,11.0,forge,1,1,2024,0
2024-01-02,Batard - Plain,12.6,4.0,forge,1,1,2024,0
2024-01-02,Bear Claw - IN,14.0,4.0,forge,1,1,2024,0
2024-01-02,Bear Claw - OUT,46.5,15.0,forge,1,1,2024,0
2024-01-02,Brownie - Dine In,3.6,1.0,forge,1,1,2024,0
2024-01-02,Brownie - Takeout,9.899999999999999,3.0,forge,1,1,2024,0
2024-01-02,Cappuccino,45.8,13.0,forge,1,1,2024,0
2024-01-02,Cardamom Snurr - Dine In,11.2,4.0,forge,1,1,2024,0
2024-01-02,Cardamom Snurr - Takeout,31.2,12.0,forge,1,1,2024,0
2024-01-02,Chai Latte Pot,7.4,2.0,forge,1,1,2024,0
2024-01-02,Ciabatta - Plain,40.300000000000004,13.0,forge,1,1,2024,0
2024-01-02,Cinnamon Swirl - Dine In,14.0,4.0,forge,1,1,2024,0
2024-01-02,Cinnamon Swirl - Takeout,51.849999999999994,17.0,forge,1,1,2024,0
2024-01-02,Cookie - Dine In,1.8,1.0,forge,1,1,2024,0
2024-01-02,Cookie - Takeout,8.8,4.0,forge,1,1,2024,0
2024-01-02,Cortado,6.4,2.0,forge,1,1,2024,0
2024-01-02,Croissant - Dine In,5.7,2.0,forge,1,1,2024,0
2024-01-02,Croissant - Takeout,50.36,20.0,forge,1,1,2024,0
2024-01-02,Custard Doughnut - Dine In,3.7,1.0,forge,1,1,2024,0
2024-01-02,Custard Doughnut - Takeout,26.4,8.0,forge,1,1,2024,0
2024-01-02,Danish - Dine In,3.25,1.0,forge,1,1,2024,0
2024-01-02,Danish - Takeout,16.799999999999997,7.0,forge,1,1,2024,0
2024-01-02,Dark Peak,8.850000000000001,3.0,forge,1,1,2024,0
